559,-1.102,30.056,-2.852,-0.225,0.302,0.935,0.000,0.000,0.000,12.901,17.915,8.580
696,1.785,0.892,2.398,-0.188,0.248,0.917,-0.102,-0.085,-0.478,11.168,15.128,48.347
816,-3.010,-4.323,2.389,-0.234,0.284,0.898,-0.113,-0.083,-0.479,13.946,17.536,45.003
931,-6.834,17.211,13.108,-0.183,0.368,0.951,-0.115,-0.085,-0.471,10.176,21.131,44.979
1051,6.921,-3.168,1.479,-0.283,0.311,0.926,-0.120,-0.077,-0.473,16.166,18.553,41.315
1170,5.749,-10.491,0.166,-0.386,0.126,1.032,-0.124,-0.067,-0.475,20.365,6.963,37.209
1292,8.540,12.355,11.419,-0.289,0.247,1.172,-0.116,-0.076,-0.473,13.563,11.909,41.740
1412,34.790,22.802,29.313,-0.191,0.285,0.989,-0.113,-0.048,-0.488,10.487,16.069,31.804
1531,25.086,2.223,32.821,-0.178,0.133,0.979,-0.111,-0.006,-0.494,10.201,7.732,11.900
1650,22.234,19.609,46.086,-0.173,0.134,0.885,-0.113,0.028,-0.496,10.967,8.582,354.628
1769,18.673,9.590,43.041,-0.111,0.051,0.905,-0.102,0.067,-0.496,6.953,3.256,335.384
1892,-15.216,-19.609,46.830,-0.170,0.072,0.986,-0.108,0.087,-0.499,9.744,4.188,329.722
2011,5.644,-16.494,59.719,-0.217,0.079,1.035,-0.127,0.101,-0.481,11.801,4.391,329.889
2127,-25.419,-15.068,67.209,-0.248,0.126,1.089,-0.127,0.121,-0.480,12.740,6.600,324.935
2247,-12.705,-11.480,89.679,-0.388,0.023,1.108,-0.141,0.154,-0.469,19.312,1.214,321.159
2362,-34.160,-68.346,107.214,-0.365,0.083,0.978,-0.144,0.191,-0.457,20.422,4.860,315.678
2482,-36.304,-49.481,95.445,-0.544,0.059,0.551,-0.174,0.223,-0.423,44.451,6.159,316.629
2601,-13.326,-6.344,78.829,-0.614,0.205,0.878,-0.168,0.251,-0.418,34.268,13.130,312.395
2720,-53.891,-28.122,73.474,-0.702,-0.071,0.595,-0.163,0.273,-0.414,49.547,-6.767,309.409
2839,0.866,35.647,54.766,-0.659,-0.068,0.512,-0.123,0.270,-0.426,51.939,-7.520,303.172
2956,1.811,96.075,36.750,-0.270,-0.219,0.579,-0.059,0.302,-0.450,23.567,-20.774,289.608
3075,-25.323,21.910,22.531,-0.041,-0.106,0.847,0.019,0.289,-0.478,2.746,-7.135,274.895
3194,-6.081,32.174,5.512,-0.463,0.214,0.969,0.029,0.265,-0.492,25.035,12.453,272.270
3313,-9.345,23.817,1.418,-0.422,-0.140,1.011,0.045,0.274,-0.492,22.449,-7.887,269.331
3429,23.503,8.951,11.489,-0.300,-0.145,0.846,0.076,0.269,-0.499,19.244,-9.724,262.745
3549,-8.470,-9.949,-7.017,-0.509,-0.036,0.950,0.065,0.281,-0.487,28.164,-2.200,265.508
3667,1.575,46.909,11.384,-0.058,-0.094,1.019,0.096,0.284,-0.495,3.243,-5.272,259.823
3790,12.206,5.031,21.831,-0.105,-0.008,0.988,0.129,0.281,-0.492,6.046,-0.456,253.872
3910,-33.906,20.493,-24.001,-0.117,-0.580,0.978,0.126,0.286,-0.488,5.856,-30.663,254.826
4029,9.748,17.622,49.193,-0.300,-0.120,0.968,0.142,0.276,-0.501,17.070,-7.038,251.357
4148,-28.315,35.481,37.389,-0.061,0.034,0.985,0.192,0.261,-0.496,3.538,1.979,242.289
4264,-1.251,14.499,2.223,-0.088,0.012,1.033,0.211,0.238,-0.503,4.867,0.673,237.131
4386,8.321,15.628,-7.770,0.006,-0.051,0.969,0.224,0.246,-0.501,-0.346,-3.024,236.204
4506,3.622,15.400,-1.837,0.029,-0.087,0.978,0.229,0.253,-0.494,-1.684,-5.113,236.507
4622,2.975,3.999,13.029,-0.134,-0.034,0.966,0.232,0.250,-0.490,7.884,-2.003,235.642
4741,5.819,6.904,24.570,0.041,-0.129,0.996,0.247,0.253,-0.487,-2.345,-7.407,234.205
4860,-11.611,-1.426,-7.997,0.047,0.056,0.982,0.246,0.251,-0.494,-2.710,3.261,234.176
4982,5.766,1.251,16.231,0.003,-0.044,0.973,0.245,0.248,-0.498,-0.154,-2.599,233.922
5101,5.985,2.398,6.003,-0.062,0.034,1.058,0.249,0.246,-0.491,3.329,1.830,233.256
