564,-1.041,29.986,-2.975,0.211,0.232,0.913,0.000,0.000,0.000,-12.649,14.245,8.580
705,-2.406,-1.663,2.625,0.249,0.256,0.913,0.264,0.142,-0.537,-14.742,15.669,216.812
822,-1.881,-4.296,4.883,0.208,0.253,0.874,0.261,0.132,-0.540,-12.872,16.119,215.452
942,0.525,-4.121,-0.201,0.227,0.252,0.951,0.258,0.131,-0.538,-13.003,14.853,215.504
1059,-10.185,-19.233,-5.355,0.207,0.323,0.920,0.242,0.128,-0.547,-11.987,19.334,216.441
1179,9.712,-63.954,-6.431,0.244,0.382,0.823,0.204,0.136,-0.553,-15.032,24.895,222.397
1301,44.056,-80.229,-16.004,-0.124,0.365,0.954,0.111,0.158,-0.552,6.943,20.943,243.496
1417,9.573,-59.150,-65.686,-0.239,0.041,1.035,0.034,0.187,-0.535,13.004,2.282,268.294
1537,-0.543,-53.550,-51.380,-0.383,0.138,0.889,-0.052,0.170,-0.519,23.065,8.829,295.590
1655,6.073,-55.667,-33.775,-0.404,0.332,0.878,-0.099,0.150,-0.504,23.268,20.677,311.972
1774,23.817,-52.500,-61.136,-0.539,0.285,0.887,-0.159,0.136,-0.462,30.042,17.832,328.091
1894,27.221,-1.295,-28.219,-0.627,0.160,0.897,-0.188,0.120,-0.442,34.507,10.119,335.927
2011,10.159,-7.122,-21.831,-0.530,0.137,0.874,-0.193,0.122,-0.428,30.928,8.941,336.340
2129,5.670,8.890,-64.776,-0.563,0.305,0.800,-0.195,0.096,-0.428,33.330,20.847,342.246
2249,16.459,14.805,-20.046,-0.471,0.250,0.835,-0.194,0.072,-0.437,28.390,16.649,348.332
2368,26.101,-11.113,-32.358,-0.218,0.106,0.849,-0.186,0.064,-0.438,14.274,7.100,349.564
2488,8.102,-16.914,-16.538,-0.489,0.287,0.845,-0.200,0.047,-0.421,28.703,18.766,355.328
2605,2.537,26.171,-3.789,-0.437,0.381,0.858,-0.194,0.044,-0.423,24.995,23.928,355.679
2724,19.110,-39.655,36.295,-0.063,0.470,0.899,-0.183,0.038,-0.443,3.559,27.618,356.749
